Time,Time Code,Country Name,Country Code, ,"Population, total [SP.POP.TOTL]",Net migration [SM.POP.NETM],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL]
,,,,Scale (Precision),Unit (0.0),Unit (0.0),Unit (0.0),Unit (0.0)
2021,YR2021,Ghana,GHA,,32833031.0,-11253.0,13794798.0,19038233.0
2021,YR2021,Gibraltar,GIB,,32669.0,-58.0,0.0,32669.0
2021,YR2021,Greece,GRC,,10569207.0,-14806.0,2109825.0,8459382.0
2021,YR2021,Greenland,GRL,,56653.0,-62.0,7078.0,49575.0
2021,YR2021,Grenada,GRD,,124610.0,-85.0,78886.0,45724.0
2021,YR2021,Guam,GUM,,170534.0,-244.0,8501.0,162033.0
2021,YR2021,Guatemala,GTM,,17109746.0,-29118.0,8170759.0,8938987.0
2021,YR2021,Guinea,GIN,,13531906.0,-4367.0,8489377.0,5042529.0
2021,YR2021,Guinea-Bissau,GNB,,2060721.0,-1395.0,1141289.0,919432.0
2021,YR2021,Guyana,GUY,,804567.0,-4316.0,588163.0,216404.0
2021,YR2021,Haiti,HTI,,11447569.0,-32977.0,4812100.0,6635469.0
2021,YR2021,Honduras,HND,,10278345.0,-5779.0,4215972.0,6062373.0
2021,YR2021,"Hong Kong SAR, China",HKG,,7413100.0,0.0,0.0,7413100.0
2021,YR2021,Hungary,HUN,,9709891.0,19870.0,2694980.0,7014911.0
2021,YR2021,Iceland,ISL,,372520.0,622.0,22560.0,349960.0
2021,YR2021,India,IND,,1407563842.0,-301970.0,909384771.0,498179071.0
2021,YR2021,Indonesia,IDN,,273753191.0,-14992.0,116919988.0,156833203.0
2021,YR2021,"Iran, Islamic Rep.",IRN,,87923432.0,28080.0,20798288.0,67125144.0
2021,YR2021,Iraq,IRQ,,43533592.0,-60097.0,12572937.0,30960655.0
2021,YR2021,Ireland,IRL,,5033164.0,15320.0,1816368.0,3216796.0
2021,YR2021,Isle of Man,IMN,,84263.0,517.0,39540.0,44723.0
2021,YR2021,Israel,ISR,,9371400.0,16856.0,686549.0,8684851.0
2021,YR2021,Italy,ITA,,59133173.0,28021.0,16944019.0,42189154.0
2021,YR2021,Jamaica,JAM,,2827695.0,-5664.0,1225749.0,1601946.0
2021,YR2021,Japan,JPN,,125681593.0,87584.0,10221684.0,115459909.0
2021,YR2021,Jordan,JOR,,11148278.0,14374.0,933557.0,10214721.0
2021,YR2021,Kazakhstan,KAZ,,19000988.0,-18917.0,8014427.0,10986561.0
2021,YR2021,Kenya,KEN,,53005614.0,-52549.0,37902724.0,15102890.0
2021,YR2021,Kiribati,KIR,,128874.0,-296.0,56273.0,72601.0
2021,YR2021,"Korea, Dem. People's Rep.",PRK,,25971909.0,-1589.0,9702586.0,16269323.0
2021,YR2021,"Korea, Rep.",KOR,,51744876.0,43440.0,9617303.0,42127573.0
2021,YR2021,Kosovo,XKX,,1786038.0,-15050.0,,
2021,YR2021,Kuwait,KWT,,4250114.0,-36843.0,0.0,4250114.0
2021,YR2021,Kyrgyz Republic,KGZ,,6773400.0,-16510.0,4257353.0,2516047.0
2021,YR2021,Lao PDR,LAO,,7425057.0,-10303.0,4682315.0,2742742.0
2021,YR2021,Latvia,LVA,,1884490.0,-6815.0,595103.0,1289387.0
2021,YR2021,Lebanon,LBN,,5592631.0,-115122.0,609988.0,4982643.0
2021,YR2021,Lesotho,LSO,,2281454.0,-1490.0,1608881.0,672573.0
2021,YR2021,Liberia,LBR,,5193416.0,-11862.0,2463081.0,2730335.0
2021,YR2021,Libya,LBY,,6735277.0,-696.0,1280107.0,5455170.0
2021,YR2021,Liechtenstein,LIE,,39039.0,231.0,33390.0,5649.0
